Week,artist,search_popularity_trends
2024-05-26,TWICE,11
2024-06-02,TWICE,10
2024-06-09,TWICE,11
2024-06-16,TWICE,10
2024-06-23,TWICE,10
2024-06-30,TWICE,9
2024-07-07,TWICE,13
2024-07-14,TWICE,17
2024-07-21,TWICE,15
2024-07-28,TWICE,13
2024-08-04,TWICE,10
2024-08-11,TWICE,10
2024-08-18,TWICE,9
2024-08-25,TWICE,9
2023-01-01,SEVENTEEN,13
2023-01-08,SEVENTEEN,13
2023-01-15,SEVENTEEN,12
2023-01-22,SEVENTEEN,11
2023-01-29,SEVENTEEN,12
2023-02-05,SEVENTEEN,13
2023-02-12,SEVENTEEN,13
2023-02-19,SEVENTEEN,12
2023-02-26,SEVENTEEN,11
2023-03-05,SEVENTEEN,11
2023-03-12,SEVENTEEN,11
2023-03-19,SEVENTEEN,10
2023-03-26,SEVENTEEN,10
2023-04-02,SEVENTEEN,11
2023-04-09,SEVENTEEN,11
2023-04-16,SEVENTEEN,11
2023-04-23,SEVENTEEN,23
2023-04-30,SEVENTEEN,20
2023-05-07,SEVENTEEN,18
2023-05-14,SEVENTEEN,17
2023-05-21,SEVENTEEN,19
2023-05-28,SEVENTEEN,17
2023-06-04,SEVENTEEN,17
2023-06-11,SEVENTEEN,15
2023-06-18,SEVENTEEN,13
2023-06-25,SEVENTEEN,14
2023-07-02,SEVENTEEN,16
2023-07-09,SEVENTEEN,14
2023-07-16,SEVENTEEN,15
2023-07-23,SEVENTEEN,16
2023-07-30,SEVENTEEN,15
2023-08-06,SEVENTEEN,15
2023-08-13,SEVENTEEN,14
2023-08-20,SEVENTEEN,14
2023-08-27,SEVENTEEN,13
2023-09-03,SEVENTEEN,14
2023-09-10,SEVENTEEN,13
2023-09-17,SEVENTEEN,12
2023-09-24,SEVENTEEN,12
2023-10-01,SEVENTEEN,12
2023-10-08,SEVENTEEN,12
2023-10-15,SEVENTEEN,12
2023-10-22,SEVENTEEN,15
2023-10-29,SEVENTEEN,14
2023-11-05,SEVENTEEN,14
2023-11-12,SEVENTEEN,15
2023-11-19,SEVENTEEN,14
2023-11-26,SEVENTEEN,15
2023-12-03,SEVENTEEN,15
2023-12-10,SEVENTEEN,16
2023-12-17,SEVENTEEN,16
2023-12-24,SEVENTEEN,17
2023-12-31,SEVENTEEN,19
2024-01-07,SEVENTEEN,17
2024-01-14,SEVENTEEN,18
2024-01-21,SEVENTEEN,15
2024-01-28,SEVENTEEN,15
2024-02-04,SEVENTEEN,13
2024-02-11,SEVENTEEN,14
2024-02-18,SEVENTEEN,13
2024-02-25,SEVENTEEN,11
2024-03-03,SEVENTEEN,11
2024-03-10,SEVENTEEN,11
2024-03-17,SEVENTEEN,11
2024-03-24,SEVENTEEN,13
2024-03-31,SEVENTEEN,13
2024-04-07,SEVENTEEN,12
2024-04-14,SEVENTEEN,11
2024-04-21,SEVENTEEN,12
2024-04-28,SEVENTEEN,17
2024-05-05,SEVENTEEN,14
2024-05-12,SEVENTEEN,15
2024-05-19,SEVENTEEN,15
2024-05-26,SEVENTEEN,14
2024-06-02,SEVENTEEN,11
2024-06-09,SEVENTEEN,12
2024-06-16,SEVENTEEN,13
2024-06-23,SEVENTEEN,13
2024-06-30,SEVENTEEN,12
2024-07-07,SEVENTEEN,11
2024-07-14,SEVENTEEN,11
2024-07-21,SEVENTEEN,13
2024-07-28,SEVENTEEN,11
2024-08-04,SEVENTEEN,12
2024-08-11,SEVENTEEN,13
2024-08-18,SEVENTEEN,13
2024-08-25,SEVENTEEN,12
