Date,Facebook,Instagram,SoundCloud,Spotify,Twitter,YouTube
6/5/2022,16205049,63345481,4220879,49057821,45697568,66000000
13/5/2022,16230733,63391335,4232824,49371906,45857325,66200000
20/5/2022,16273108,63919416,4240872,49654519,45976267,66400000
27/5/2022,16288456,64112704,4247677,49899808,46068641,66500000
3/6/2022,16302959,64548559,4253076,50139858,46164613,66700000
10/6/2022,16404479,64830219,4259274,50442446,46247386,67100000
17/6/2022,16464359,65212727,4282676,50895817,46383112,68000000
24/6/2022,16491757,65548966,4289572,51216191,46461638,68500000
1/7/2022,16520518,65754633,4295634,51556758,46539920,68800000
8/7/2022,16527520,66072249,4300127,51893211,46618552,69200000
15/7/2022,16576529,66184020,4304419,52210174,46708520,69400000
22/7/2022,16612324,66407451,4308532,52518665,46787515,69600000
29/7/2022,16648373,66458135,4312437,52807393,46871070,69700000
5/8/2022,16653975,66812923,4316189,53103454,46957432,69900000
12/8/2022,16659576,66978128,4320382,53413967,47055322,70000000
19/8/2022,16732394,67034851,4324191,53728637,47116506,70200000
26/8/2022,16742515,67265072,4327483,54051854,47162250,70400000
2/9/2022,16813357,67469447,4331304,54237932,47261226,70500000
9/9/2022,16825737,67620488,4334938,54036284,47338736,70600000
16/9/2022,16833429,67763136,4338622,54366291,47401244,70700000
23/9/2022,16857871,67941428,4342080,54705236,47470010,70800000
30/9/2022,16888692,68021765,4345202,55023095,47518184,70900000
7/10/2022,16904463,68198228,4348344,55354960,47550455,71000000
14/10/2022,16934413,68328104,4351805,55660138,47601900,71100000
21/10/2022,16965734,68532836,4355158,55976164,47688136,71300000
28/10/2022,16968078,68629982,4358706,56323912,47733236,71400000
4/11/2022,16984482,68798995,4362304,56639404,47778378,71500000
11/11/2022,16995953,68865133,4365502,56932158,47808045,71600000
18/11/2022,17034175,68995183,4368785,57234440,47822673,71800000
25/11/2022,17066220,69451465,4372595,57662927,47864937,72000000
2/12/2022,17076855,69572497,4376296,57997091,47874325,72200000
9/12/2022,17092320,69737322,4379814,58362309,47910826,72400000
16/12/2022,17115664,70001520,4382883,58670872,47983622,72500000
23/12/2022,17132933,70133478,4386155,58984121,47994931,72600000
30/12/2022,17163087,70372519,4420884,59349258,48029104,72800000
6/1/2023,17183410,70563506,4425193,59664187,48064876,73000000
13/1/2023,17212827,70722130,4428688,59954414,48086156,73100000
20/1/2023,17228852,70925668,4431930,60250570,48111010,73200000
27/1/2023,17254739,71083618,4434806,60527324,48259942,73300000
3/2/2023,17264852,71274382,4437770,60814647,48154513,73400000
10/2/2023,17280286,71487779,4440680,61085043,48170055,73500000
17/2/2023,17304952,71635022,4443606,61331608,48190735,73600000
24/2/2023,17319427,71822972,4446780,61583564,48195780,73700000
3/3/2023,17340213,72146516,4449513,61843986,48212059,73800000
10/3/2023,17347836,72352594,4452145,62119901,48232231,73800000
17/3/2023,17369013,72445384,4454544,62396049,48246257,73900000
24/3/2023,17395842,72535058,4457196,62682241,48246430,74000000
31/3/2023,17404574,72655754,4459875,62943385,48271836,74100000
7/4/2023,17425140,72782445,4462259,63215628,48277554,74200000
14/4/2023,17448719,72915508,4464606,63469772,48286831,74300000
21/4/2023,17460697,72999292,4466904,63730710,48328285,74400000
28/4/2023,17474372,73083318,4469340,64016191,48362708,74500000
5/5/2023,17494969,73157174,4471512,64287165,48386133,74600000
12/5/2023,17503689,73219210,4473699,64558430,48401269,74700000
19/5/2023,17515982,73277357,4476008,64870812,48418088,74700000
26/5/2023,17542563,73374286,4477790,65155985,48436923,74800000
2/6/2023,17566162,73512229,4480286,65443321,48442845,74900000
9/6/2023,17583296,73520457,4483542,65730259,48446474,75000000
16/6/2023,17599854,73588361,4486826,66059652,48465334,75300000
23/6/2023,17624913,73602517,4488879,66328906,48474834,75400000
30/6/2023,17634624,73648581,4490897,66549885,48479701,75500000
7/7/2023,17650958,73633002,4493482,66861137,48497384,75500000
14/7/2023,17661072,73689325,4495668,67146496,48500524,75600000
21/7/2023,17676407,73706020,4498227,67432958,48502008,75800000
28/7/2023,17685731,73878455,4500126,67679154,48503492,75900000
4/8/2023,17696618,73779920,4501943,67917672,48504976,76000000
11/8/2023,17716024,73843919,4503863,68164637,48506460,76100000
18/8/2023,17725669,73985152,4505547,68437034,48507944,76100000
25/8/2023,17733720,73823260,4507046,68681969,48509428,76200000
1/9/2023,17748312,73972470,4508487,68928005,48510912,76200000
8/9/2023,17753647,73971178,4509648,69362432,48512396,76300000
15/9/2023,17759979,73967442,4510789,69461436,48513880,76400000
22/9/2023,17767005,73977902,4511946,69709133,48595494,76400000
29/9/2023,17772463,73975588,4513704,69975743,48595628,76500000
6/10/2023,17781726,73976766,4514904,70219985,48593688,76500000
13/10/2023,17785089,73975964,4516187,70399578,48596919,76600000
20/10/2023,17789450,74024667,4517666,70601693,48598381,76600000
27/10/2023,17798958,74024072,4518760,70356205,48577006,76700000
3/11/2023,17802623,74010189,4519929,70545224,48576157,76700000
10/11/2023,17806741,74020429,4521039,70761574,48570212,76800000
17/11/2023,17818275,74009267,4522082,70960278,48568460,76800000
24/11/2023,17857367,74044229,4523236,71151393,48572378,76900000
1/12/2023,17876710,74050810,4524087,71342884,48575837,76900000
8/12/2023,17885748,74088440,4525355,71559765,48581627,77000000
