Date,platforms,number_of_fans
2021-11-26,Instagram,52691740
2021-12-03,Instagram,53106016
2021-12-10,Instagram,56473458
2021-12-17,Instagram,57177821
2021-12-24,Instagram,57623662
2022-12-31,Instagram,58051465
2022-01-07,Instagram,58457099
2022-01-14,Instagram,58756876
2022-01-21,Instagram,59032117
2022-01-28,Instagram,59315284
2022-02-04,Instagram,59571390
2022-02-11,Instagram,59814504
2022-02-18,Instagram,60029229
2022-02-25,Instagram,60238697
2022-03-04,Instagram,60515162
2022-03-11,Instagram,60802773
2022-03-18,Instagram,61206087
2022-03-25,Instagram,61497154
2022-04-01,Instagram,61792035
2022-04-08,Instagram,62205125
2022-04-15,Instagram,62536207
2022-04-22,Instagram,62590159
2022-04-29,Instagram,62644111
2022-05-06,Instagram,63345481
2022-05-13,Instagram,63391335
2022-05-20,Instagram,63919416
2022-05-27,Instagram,64112704
2022-06-03,Instagram,64548559
2022-06-10,Instagram,64830219
2022-06-17,Instagram,65212727
2022-06-24,Instagram,65548966
2022-07-01,Instagram,65754633
2022-07-08,Instagram,66072249
2022-07-15,Instagram,66184020
2022-07-22,Instagram,66407451
2022-07-29,Instagram,66458135
2022-08-05,Instagram,66812923
2022-08-12,Instagram,66978128
2022-08-19,Instagram,67034851
2022-08-26,Instagram,67265072
2022-09-02,Instagram,67469447
2022-09-09,Instagram,67620488
2022-09-16,Instagram,67763136
2022-09-23,Instagram,67941428
2022-09-30,Instagram,68021765
2022-10-07,Instagram,68198228
2022-10-14,Instagram,68328104
2022-10-21,Instagram,68532836
2022-10-28,Instagram,68629982
2022-11-04,Instagram,68798995
2022-11-11,Instagram,68865133
2022-11-18,Instagram,68995183
2022-11-25,Instagram,69451465
2022-12-02,Instagram,69572497
2022-12-09,Instagram,69737322
2022-12-16,Instagram,70001520
2022-12-23,Instagram,70133478
2022-12-30,Instagram,70372519
2023-01-06,Instagram,70563506
2023-01-13,Instagram,70722130
2023-01-20,Instagram,70925668
2023-01-27,Instagram,71083618
2023-02-03,Instagram,71274382
2023-02-10,Instagram,71487779
2023-02-17,Instagram,71635022
2023-02-24,Instagram,71822972
2023-03-03,Instagram,72146516
2023-03-10,Instagram,72352594
2023-03-17,Instagram,72445384
2023-03-24,Instagram,72535058
2023-03-31,Instagram,72655754
2023-04-07,Instagram,72782445
2023-04-14,Instagram,72915508
2023-04-21,Instagram,72999292
2023-04-28,Instagram,73083318
2023-05-05,Instagram,73157174
2023-05-12,Instagram,73219210
2023-05-19,Instagram,73277357
2023-05-26,Instagram,73374286
2023-06-02,Instagram,73512229
2023-06-09,Instagram,73520457
2023-06-16,Instagram,73588361
2023-06-23,Instagram,73602517
2023-06-30,Instagram,73648581
2023-07-07,Instagram,73633002
2023-07-14,Instagram,73689325
2023-07-21,Instagram,73706020
